LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.320, Time: 5.099582 s
         2757701 function calls (2742979 primitive calls) in 6.799 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
       48    0.000    0.000    0.000    0.000 __init__.py:1761(_str_equal)
       32    0.000    0.000    0.000    0.000 __init__.py:1772(_str_lower_equal)
       12    0.000    0.000    0.001    0.000 __init__.py:1783(_define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:179(__getattr__)
       82    0.000    0.000    0.001    0.000 __init__.py:1804(make_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:181(<lambda>)
       12    0.000    0.000    0.000    0.000 __init__.py:1824(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1825(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:184(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
       26    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.004    0.004 __init__.py:189(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        5    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        3    0.000    0.000    0.017    0.006 __init__.py:2(<module>)
       25    0.000    0.000    0.001    0.000 __init__.py:2006(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:2020(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:2135(NullHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:214(<dictcomp>)
       30    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
       36    0.000    0.000    0.001    0.000 __init__.py:218(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:2218(_make_class_factory)
       30    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.018    0.018 __init__.py:2237(class_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2247(subcls)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
