./code/LebwohlLasher_numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.328, Time: 2.061183 s
         14268641 function calls (13308636 primitive calls) in 11.318 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:315(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:342(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:566(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:577(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:647(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:694(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:84(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000   11.328   11.328 LebwohlLasher_numba_parallel.py:1(<module>)
       51    0.009    0.000    0.009    0.000 LebwohlLasher_numba_parallel.py:168(all_energy)
       51    0.029    0.001    0.029    0.001 LebwohlLasher_numba_parallel.py:186(get_order)
       50    0.030    0.001    0.030    0.001 LebwohlLasher_numba_parallel.py:215(MC_step)
        1    0.001    0.001    8.992    8.992 LebwohlLasher_numba_parallel.py:261(main)
        1    0.000    0.000    0.000    0.000 LebwohlLasher_numba_parallel.py:35(initdat)
        2    0.000    0.000    0.000    0.000 LebwohlLasher_numba_parallel.py:49(plotdat)
        1    0.000    0.000    0.001    0.001 LebwohlLasher_numba_parallel.py:96(savedat)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1064(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1075(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:119(Blend)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:133(__getattr__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:172(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:264(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:286(PngInfo)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:370(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:695(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:98(Disposal)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:382(_populate)
        2    0.000    0.000    0.000    0.000 __about__.py:6(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       67    0.004    0.000    4.027    0.060 __init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:10(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:101(_StrongRef)
        1    0.000    0.000    0.000    0.000 __init__.py:1038(StreamHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:1058(flush)
        2    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
        6    0.000    0.000    0.000    0.000 __init__.py:1069(emit)
        6    0.000    0.000    0.004    0.001 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1119(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:112(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1135(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1152(resource_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:1180(is_interactive)
        6    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:1202(stream)
        1    0.000    0.000    0.011    0.011 __init__.py:121(_ensure_critical_deps)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
       11    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:1226(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1248(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
       36    0.000    0.000    0.001    0.000 __init__.py:1272(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:129(CallbackRegistry)
       19    0.000    0.000    0.000    0.000 __init__.py:1290(_to_unmasked_float_array)
       47    0.001    0.000    0.012    0.000 __init__.py:1294(_add_data_doc)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       35    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
      783    0.001    0.000    0.005    0.000 __init__.py:1328(safe_name)
      892    0.003    0.000    0.030    0.000 __init__.py:1336(safe_version)
       92    0.002    0.000    0.022    0.000 __init__.py:1338(_preprocess_data)
        4    0.000    0.000    0.000    0.000 __init__.py:134(_declare_state)
